house_id,area,bedrooms,bathrooms,stories,has_pool,quality,price
61,2085,5,1,3,0,2,693186
62,4314,3,1,2,0,1,881419
63,2427,3,3,1,0,3,751351
64,2123,3,3,2,0,2,636539
65,3170,3,1,1,0,3,827149
66,1563,2,1,2,1,2,585698
67,4208,2,2,2,0,2,948854
68,1298,2,2,1,1,2,509787
69,4947,2,1,2,0,2,1041256
70,4088,2,1,2,0,3,970586
71,1794,2,1,1,0,2,525355
72,1022,1,1,2,1,1,395080
73,4261,1,1,1,0,2,880238
74,3827,5,1,2,0,2,934064
75,3916,3,2,2,1,2,965046
76,4085,2,1,2,0,1,826489
77,1296,3,3,2,0,2,544073
78,2433,2,2,2,0,2,661923
79,1463,4,1,1,0,2,518678
80,4452,3,3,2,0,2,1017758
81,3493,1,1,1,0,2,769243
82,2323,3,2,2,0,1,593787
83,1254,4,3,1,0,2,502970
84,2243,4,1,1,0,1,564559
85,2300,3,1,2,0,1,564213
86,3918,3,1,1,0,2,865575
87,3550,2,1,2,0,3,909289
88,4548,5,2,1,0,2,1023168
89,2888,2,2,1,0,2,687963
90,1478,4,2,2,0,3,643705
91,3852,3,3,1,1,3,1009608
92,4043,3,1,1,0,1,798713
93,3245,3,3,2,1,3,955100
94,4083,2,2,1,1,2,932533
95,2975,2,1,2,0,2,731395
96,3090,2,1,1,0,1,649740
97,2710,2,2,1,0,2,675241
98,1101,3,2,2,1,1,466107
99,1431,2,2,1,0,1,408717
100,1125,1,1,1,0,2,403365
101,3545,5,2,1,0,3,951679
102,2257,4,2,1,1,3,789497
103,3034,4,1,2,1,2,818013
104,4630,5,2,1,0,3,1111971
105,1997,2,1,2,0,3,678536
106,2641,2,1,2,0,2,701724
107,4022,3,2,1,0,1,828504
108,1915,3,2,3,1,2,681676
109,1307,2,2,1,0,3,552350
110,2159,4,1,3,0,2,675157
111,1644,2,2,1,0,2,518170
112,4718,2,2,2,1,2,1066531
113,4232,3,2,2,1,2,1001752
114,3533,3,3,1,0,2,828486
115,4485,3,1,2,1,1,962408
116,4214,1,1,2,0,2,920772
117,1746,4,3,1,0,3,679332
118,4570,2,2,1,0,3,1042572
119,3157,2,2,2,0,1,713342
120,4229,4,4,2,0,3,1090727
121,4584,5,3,3,1,2,1152099
122,2272,4,4,2,0,2,724786
123,1440,4,2,3,0,2,577316
124,1911,3,3,2,0,3,703645
125,2708,3,2,1,0,3,775391
126,4272,1,1,1,1,2,931589
127,4442,3,3,2,0,3,1076686
128,1027,2,2,2,0,1,389255
129,3042,2,1,1,1,2,758121
130,2669,3,3,1,0,2,705011
131,1888,3,1,3,0,2,616661
132,1479,1,1,2,0,1,425489
133,2350,2,2,1,0,3,702383
134,4771,3,3,2,1,1,1026042
135,2292,1,1,1,1,1,555066
136,3075,4,1,1,0,2,761289
137,3812,3,2,1,1,2,933022
138,2454,3,3,1,0,3,740735
139,4887,3,2,2,0,2,1064805
140,4849,4,4,1,0,1,1002069
141,2007,2,2,2,0,3,672220
142,2988,3,3,2,0,2,802869
143,2203,3,1,1,0,1,540843
144,2139,2,1,2,1,2,655773
145,1147,4,2,2,0,2,498456
146,3438,3,2,2,0,2,842991
147,3010,3,3,1,0,2,761053
148,1205,4,1,2,0,3,575443
149,2114,4,1,2,0,3,711664
150,4633,3,2,1,0,2,998635
151,1958,4,4,1,1,1,594143
152,1579,3,2,2,0,3,639993
153,2957,3,1,2,0,2,751676
154,4942,3,3,1,0,2,1056272
155,1968,3,2,2,0,2,617257
156,3688,2,1,1,0,3,891133
157,4046,4,4,2,0,2,974472
158,1950,4,2,1,0,1,532008
159,3912,1,1,2,0,2,861691
160,2471,4,3,1,0,3,777159
161,3529,2,2,1,0,1,733153
162,3534,2,2,1,0,3,870821
163,3143,3,1,1,1,2,795543
164,1361,2,2,2,0,2,503417
165,4341,4,4,1,1,1,968385
166,2283,4,3,2,0,1,641036
167,1746,3,2,1,1,3,678358
168,1163,1,1,1,0,1,328014
169,3363,2,1,1,0,2,769866
170,3710,3,3,1,0,2,879966
171,1066,5,1,1,1,1,442288
172,3048,3,3,1,0,1,711928
173,1905,2,2,2,0,2,594902
174,3580,3,3,1,0,3,932339
175,1697,3,3,2,1,2,659221
176,3763,3,1,2,0,2,884176
177,2546,2,1,1,1,2,690795
178,4746,3,3,2,0,2,1064077
179,1550,3,2,3,0,2,590046
180,2364,5,4,2,0,3,835505
181,1453,2,2,2,1,2,584949
182,4698,3,1,1,0,2,973791
183,4509,4,4,2,1,1,1034293
184,2031,2,1,2,0,3,667831
185,3639,4,1,2,0,1,802232
186,4268,3,3,3,0,1,936471
187,3220,1,1,1,0,2,723870
188,3118,2,1,1,1,2,792935
189,1967,3,3,2,1,2,671386
190,1372,1,1,2,1,2,508577
191,4588,3,3,1,0,2,978867
192,4601,2,2,1,0,1,900841
193,3532,3,2,1,0,3,892066
194,2356,1,1,1,1,2,644722
195,2396,4,4,2,0,2,733253
196,3903,5,2,2,0,2,941586
197,4588,5,2,1,0,1,956715
198,4548,3,2,1,0,2,975925
199,4119,2,2,1,1,2,940473
200,3568,3,2,1,0,2,832529
201,1336,1,1,2,0,2,477608
202,1646,1,1,3,0,3,612310
203,4594,2,1,2,0,2,987829
204,3425,3,3,1,0,3,913249
205,1036,3,1,2,0,2,451139
206,1405,3,3,2,1,1,528533
207,3654,3,3,2,1,1,860051
208,1020,2,2,2,0,2,464992
209,1643,5,3,1,0,1,509283
210,3194,3,2,1,1,1,765389
211,3767,3,1,1,0,3,903971
212,3607,2,2,1,0,3,888607
213,1897,3,1,1,0,2,568893
214,3848,3,3,2,0,1,835337
215,1948,2,2,2,0,1,513766
216,2301,1,1,2,1,1,592372
217,3985,3,1,1,0,2,878528
218,3598,3,3,3,0,3,984759
219,4396,2,1,3,0,2,987987
220,3630,5,4,2,0,1,860555
221,3273,2,2,3,0,2,829146
222,1374,3,2,2,1,2,576034
223,2470,4,2,3,1,2,787007
224,2060,3,2,1,0,2,601152
225,1975,3,3,1,1,2,651262
226,4892,2,2,1,1,1,979312
227,2572,2,1,1,1,1,632453
228,4568,5,4,1,0,3,1122659
229,3524,3,3,2,0,1,786971
230,4179,4,2,2,0,1,897131
231,3010,2,1,2,0,1,667542
232,3307,2,2,1,0,1,684181
233,2970,1,1,2,0,2,712516
234,1780,3,1,2,1,3,698613
235,3889,2,1,1,1,2,891629
236,2123,4,1,2,1,2,705705
237,1097,3,3,1,0,2,475917
238,3581,5,1,1,0,2,869429
239,1708,2,1,3,0,3,651083
240,4761,4,2,1,0,3,1121911
241,4815,3,1,2,0,1,952642
242,4659,3,2,2,0,2,1016154
243,2480,4,4,2,0,2,752473
244,1061,3,2,1,1,3,592791
245,4713,3,2,1,0,2,988162
246,2712,2,1,1,0,3,739830
247,4866,1,1,2,0,2,993792
248,4854,4,3,1,0,1,984529
249,4412,3,3,1,0,2,971900
250,2177,3,3,3,0,3,785004
251,2540,3,1,2,0,3,764916
252,4404,2,1,1,0,1,859348
253,2267,2,1,2,0,2,626899
254,1677,3,1,2,0,2,570815
255,3227,3,1,1,0,1,691337
256,4744,2,2,1,1,2,1053899
257,3784,3,2,2,0,1,802830
258,3280,1,1,2,0,3,825361
259,1388,3,2,2,0,2,551516
260,3460,2,2,1,1,3,911667
261,4960,3,2,1,1,1,1007302
262,1560,2,1,1,0,2,485243
263,3073,3,3,1,0,1,707434
264,4509,1,1,1,1,1,878815
265,3963,1,1,1,0,1,759675
266,3788,2,1,2,0,1,780544
267,3809,3,1,3,0,2,921715
268,2437,3,1,2,1,1,644913
269,2174,2,2,2,1,2,685253
270,4237,3,2,1,0,2,918838
271,4240,4,2,3,0,3,1108739
272,4468,3,2,1,0,3,1037804
273,4652,1,1,3,0,2,997888
274,3045,3,3,3,1,2,893298
275,3006,2,2,2,0,1,675033
276,4193,2,2,3,0,3,1055624
277,3599,5,1,2,0,1,810735
278,3807,2,1,1,0,1,762767
279,4183,3,2,1,0,1,841723
280,4560,3,3,2,0,2,1010440
281,2351,3,1,1,0,1,561796
282,2502,3,1,2,0,2,691699
283,1375,1,1,3,0,1,418091
284,3313,2,2,1,0,2,768879
285,1143,3,2,2,0,1,433458
286,2862,1,1,3,1,1,710301
287,3170,2,2,3,1,3,931548
288,2146,1,1,3,1,1,590925
289,3363,1,1,2,0,3,868932
290,1122,2,1,3,1,2,523831
291,1149,2,2,2,0,1,401758
292,4290,3,2,1,0,3,998853
293,2440,3,2,2,0,1,629148
294,1508,4,4,2,0,3,676129
295,3088,2,1,1,0,1,649982
296,4079,2,2,2,0,3,1019539
297,1863,2,2,2,0,1,503515
298,3491,3,2,1,0,2,836136
299,1341,3,2,2,0,2,522243
300,1206,1,1,2,0,3,523565
301,3125,4,1,2,0,3,900132
302,3162,1,1,1,1,3,837689
303,3549,3,1,1,1,3,923606
304,3904,3,3,1,0,1,823419
305,4903,4,4,3,0,1,1063723
306,3065,3,2,1,0,1,683421
307,2291,4,1,2,1,2,722314
308,4180,2,1,1,0,2,909155
309,2083,4,3,1,0,2,648017
310,2755,1,1,2,0,1,597500
311,1313,4,2,2,0,2,543195
312,1101,3,2,1,0,1,377154
313,4850,4,3,1,1,2,1105023
314,4343,3,1,1,0,2,922346
315,3783,3,3,2,0,2,928521
316,2635,3,2,2,1,2,763336
317,1693,3,1,1,1,2,590826
318,1625,1,1,1,0,1,405515
319,2000,1,1,1,0,2,528416
320,3196,2,1,3,0,1,726376
321,3858,2,2,3,1,2,967707
322,3640,4,3,1,0,2,881586
323,2119,2,2,2,1,1,571628
324,4819,5,3,1,0,1,985502
325,3951,2,1,1,0,3,937226
326,3217,2,1,2,0,3,838314
327,3446,3,1,3,0,2,858929
328,2678,3,1,3,0,1,654120
329,1990,3,2,2,0,1,555816
330,2423,3,2,1,0,2,667763
331,4031,3,3,2,1,3,1076969
332,1057,2,2,1,0,1,368876
333,1464,5,4,2,0,2,630239
334,1184,5,4,1,0,1,455859
335,1162,3,3,2,0,3,581413
336,4421,2,1,1,0,2,932125
337,3814,3,2,1,0,2,878402
338,2896,1,1,3,1,2,777657
339,1391,1,1,1,0,2,441211
340,2966,2,1,2,0,1,653378
341,2893,3,1,1,0,1,622899
342,1692,4,4,1,0,3,661086
343,2735,3,3,1,0,3,782777
344,2594,3,3,1,1,3,821159
345,3463,3,3,2,1,2,912158
346,3540,2,1,1,0,3,870335
347,1181,2,2,3,0,1,432064
348,2498,5,2,2,0,2,734860
349,3503,1,1,1,0,2,766687
350,3012,4,1,2,0,2,766840
351,4425,3,3,2,0,2,1013344
352,3634,3,2,2,0,1,807954
353,1651,3,3,1,0,2,551394
354,1282,3,3,1,0,3,573316
355,3569,4,1,2,0,2,877783
356,1106,4,3,3,0,1,479669
357,3343,3,1,2,0,1,742332
358,4760,2,1,1,1,1,948077
359,3301,3,1,2,0,1,745713
360,2552,4,2,2,0,2,732701
361,3573,2,2,2,0,2,846427
362,2833,3,2,1,1,2,775613
363,3182,3,1,2,0,2,781749
364,4765,3,3,1,0,3,1095118
365,2544,2,1,1,0,1,574292
366,4844,3,3,2,0,2,1067864
367,4621,4,4,1,1,3,1151374
368,1783,2,1,1,0,1,471181
369,1277,2,1,1,1,1,436331
370,1403,5,2,3,1,3,730826
371,1072,2,1,2,1,2,498065
372,1377,4,1,1,0,2,508537
373,3732,3,2,2,0,1,814975
374,1284,2,1,2,0,2,462270
375,2275,4,3,1,1,2,742373
376,4379,3,3,2,0,1,913951
377,1093,3,3,2,0,2,503931
378,4257,2,1,2,0,1,853899
379,2127,3,2,1,0,2,634019
380,1472,2,2,2,1,1,499919
381,3786,2,2,2,0,1,813785
382,3515,5,2,1,1,1,841317
383,4509,2,2,1,0,1,866731
384,3940,3,1,1,1,3,997347
385,4213,2,2,1,0,1,830765
386,2128,3,2,2,0,2,633359
387,1709,2,1,1,1,1,494927
388,4002,5,3,1,0,2,950521
389,4227,3,2,2,1,3,1089614
390,4962,2,1,1,0,1,931234
391,2650,1,1,3,0,3,765989
392,2488,2,2,1,0,1,580883
393,4105,3,3,1,0,2,919506
394,2363,2,2,1,0,2,598453
395,4723,4,1,1,0,3,1084737
396,4433,3,1,1,0,2,939409
397,2715,2,2,2,0,2,716071
398,4003,3,2,3,1,1,950439
399,4018,3,2,1,1,1,892977
400,1412,2,2,2,0,3,590149
401,4610,2,1,2,0,2,973235
402,3021,1,1,2,0,2,728997
403,4305,3,2,1,0,2,937048
404,2280,3,1,1,1,2,675918
405,4582,3,3,1,1,3,1115691
406,2556,4,2,2,0,2,730907
407,1043,4,3,2,1,2,558330
408,4621,3,3,1,0,3,1089993
409,1365,4,2,1,1,1,488850
410,2277,2,1,3,0,1,593161
411,4800,2,1,2,0,2,997352
412,4802,2,2,3,0,1,988112
413,3293,1,1,2,0,2,754286
414,3527,3,1,1,0,3,886662
415,2793,4,3,2,1,2,839182
416,2172,1,1,2,0,2,593800
417,2314,2,2,1,0,3,686808
418,3690,3,3,2,0,2,898468
419,4009,4,1,2,0,2,922940
420,4166,2,1,1,0,2,880858
421,4158,3,3,2,0,3,1041355
422,1364,1,1,2,0,2,488207
423,2977,2,1,3,0,2,766816
424,1230,5,4,1,0,3,624729
425,3198,5,3,1,1,2,887075
426,2766,1,1,2,1,2,735404
427,4550,5,3,1,0,3,1113855
428,2403,3,2,2,0,2,696235
429,1468,4,4,2,0,2,591923
430,1571,3,2,1,0,3,572900
431,4046,3,1,2,0,2,908721
432,3472,3,1,2,0,2,842887
433,1404,3,1,1,0,3,565262
434,1336,2,2,3,0,3,607009
435,3803,1,1,2,0,2,852118
436,1291,2,1,2,1,1,457637
437,4287,3,1,2,1,2,982125
438,3824,2,2,2,0,2,863547
439,1325,3,1,3,0,2,542936
440,1339,5,2,2,1,2,615181
441,4946,1,1,2,1,2,1076447
442,2497,3,3,2,0,2,707217
443,2482,3,1,1,0,1,574205
444,4251,4,3,2,0,2,988805
445,4788,2,1,1,0,2,972994
446,4944,3,3,1,0,1,957681
447,4013,4,2,1,0,1,838093
448,2505,4,2,3,0,2,750231
449,1334,3,1,2,0,2,508737
450,4108,3,3,2,1,1,952696
451,3233,3,2,2,0,3,903285
452,2696,4,1,2,0,2,726891
453,4625,3,1,3,0,3,1088311
454,1444,1,1,2,0,2,485608
455,2970,4,2,1,1,2,814265
456,1045,3,2,1,0,3,518145
457,2874,3,1,2,0,2,732990
458,1225,2,2,2,0,2,504576
459,1475,3,3,1,0,1,453674
460,1470,2,1,1,1,2,537123
461,3596,3,3,2,0,1,795097
462,3984,2,2,1,0,1,797031
463,3333,3,1,2,0,1,731587
464,4848,5,2,3,0,1,1040446
465,2499,1,1,1,1,3,751403
466,2142,5,1,1,1,1,602411
467,4474,3,2,2,0,2,999101
468,1894,4,4,2,0,3,730549
469,4852,3,3,2,1,2,1121948
470,1048,3,3,3,1,1,498784
471,4879,3,2,1,0,2,1035522
472,1172,4,2,2,0,2,511403
473,4564,3,1,2,0,2,1006176
474,3110,2,1,2,1,2,806212
475,4971,3,1,1,0,3,1087365
476,1295,4,1,2,0,2,531052
477,3215,3,1,2,1,2,840262
478,4877,3,3,1,0,2,1024472
479,3092,3,1,1,0,1,672125
480,3517,4,1,2,0,3,942616
481,3782,2,1,1,0,1,765121
482,2818,3,1,1,0,2,698916
483,3510,1,1,1,0,3,842953
484,3337,2,1,2,0,2,791055
485,4604,2,1,2,0,2,995498
486,1181,2,2,2,1,2,524045
487,2123,3,3,1,1,3,748803
488,4801,2,1,2,0,2,1001803
489,4561,3,2,2,0,3,1069658
490,2822,2,2,2,0,1,655778
491,3480,2,2,3,0,2,873013
492,2109,2,1,1,0,3,649365
493,1752,1,1,2,0,1,448981
494,2854,3,1,1,0,2,709969
495,2413,3,3,2,0,1,632841
496,3334,3,3,1,0,2,808536
497,1310,3,2,1,0,2,505535
498,4897,2,2,1,0,2,1001426
499,4944,4,2,2,0,1,1008730
500,3792,3,3,1,0,1,806760
501,3144,3,3,2,1,1,790530
502,2238,1,1,1,1,2,626172
503,4255,2,1,1,0,2,885466
504,3738,2,1,2,0,3,949080
505,1650,2,2,1,0,2,520140
506,4643,3,1,1,0,2,977553
507,4290,3,2,2,0,3,1049668
508,4799,3,1,1,1,2,1043485
509,3902,3,3,1,0,3,970869
510,3453,4,2,1,1,2,876178
511,2672,3,1,3,0,1,669956
512,4730,5,1,2,0,1,981740
513,4464,1,1,2,0,2,942287
514,1180,2,1,2,0,1,381535
515,1105,1,1,1,0,2,397461
516,2505,3,3,1,0,2,672099
517,4242,4,3,2,0,2,989195
518,4949,2,2,1,1,2,1041615
519,1601,4,4,1,0,1,507079
520,3376,1,1,1,1,2,791058
521,2523,4,4,1,1,2,774959
522,4879,2,2,3,1,3,1192296
523,4368,2,2,1,0,2,942771
524,4353,3,1,2,0,3,1063893
525,2874,2,1,1,1,2,752475
526,2659,2,2,3,0,2,729319
527,2093,2,2,1,0,1,509016
528,1225,4,2,1,0,2,507437
529,4458,3,2,2,0,2,976867
530,4251,2,1,2,0,2,924498
531,4998,3,3,1,0,2,1057318
532,4986,3,1,1,0,2,1033741
533,3221,2,1,1,1,2,799289
534,4075,3,3,1,0,2,913804
535,4779,2,2,1,1,1,962706
536,4398,2,2,2,0,3,1044151
537,1989,3,2,1,1,1,560361
538,2802,2,1,1,0,1,617361
539,1516,3,2,2,1,2,608492
540,4816,3,1,3,0,2,1064115
541,3424,2,1,2,1,2,857509
542,1914,3,2,1,0,1,502431
543,3686,2,2,1,1,2,871637
544,3472,5,3,3,1,2,976553
545,2432,3,3,1,0,3,754800
546,1454,4,4,1,0,3,640110
547,3686,3,2,2,1,2,923673
548,3081,1,1,2,0,2,739646
549,4089,3,1,2,1,2,971611
550,3080,5,1,1,0,1,700067
551,4408,3,1,1,0,2,943743
552,3207,4,1,3,1,2,880920
553,3243,4,1,1,0,3,844578
554,4506,2,1,2,1,1,940849
555,2613,2,2,2,0,2,690376
556,1536,3,2,2,0,2,552858
557,1115,3,3,1,0,2,467583
558,4020,4,4,1,0,1,885089
559,3481,4,1,2,0,3,920535
560,3816,2,2,2,0,2,873080
561,1851,2,2,3,0,2,616429
562,1545,3,1,1,0,1,422984
563,1058,2,1,1,1,2,454195
564,2402,4,1,3,0,2,724110
565,3359,3,2,2,0,1,749401
566,2568,3,1,2,0,1,611185
567,2749,1,1,1,0,3,733384
568,4616,3,2,2,0,1,934281
569,2393,3,1,2,0,1,591205
570,3055,3,2,2,0,2,774289
571,4134,2,2,1,0,2,898134
572,2586,3,3,1,0,1,636221
573,3488,4,4,2,1,2,929590
574,4449,2,2,1,0,1,868477
575,4798,1,1,2,0,1,923266
576,1588,1,1,3,0,1,458985
577,4706,3,1,1,0,3,1049590
578,2968,3,2,2,1,1,749410
579,2032,3,3,1,0,1,549817
580,2836,2,1,2,0,2,724305
581,4920,2,1,3,0,3,1136659
582,2970,3,1,1,0,1,651479
583,2315,3,2,1,0,2,633260
584,3533,5,2,1,0,1,798602
585,1960,2,1,1,0,2,562100
586,1303,3,2,2,0,2,509069
587,1515,3,2,3,0,2,585895
588,1512,3,1,1,0,2,513328
589,1607,3,1,1,0,2,529871
590,1555,3,1,1,0,1,437500
591,3563,5,1,2,1,2,925874
592,1727,2,1,1,0,1,439029
593,2382,2,1,2,1,2,687228
594,4587,3,1,2,0,3,1072539
595,2895,3,3,2,0,3,846781
596,3670,2,1,1,0,3,906950
597,1689,1,1,2,0,2,532297
598,1769,1,1,1,0,2,515045
599,1163,4,3,1,0,1,434164
600,1675,2,1,2,0,2,537577
601,2114,2,1,2,1,2,654346
602,1708,2,1,1,0,2,514361
603,1354,2,1,1,0,2,464982
604,1482,1,1,1,0,1,391192
605,2843,3,3,1,0,2,736457
606,1825,1,1,1,0,3,585844
607,2457,4,2,1,0,1,602609
608,3013,2,1,2,1,2,778024
609,3761,3,3,2,1,3,1041984
610,1157,4,1,2,0,2,525605
611,4197,3,3,2,0,2,981543
612,3511,3,2,1,1,1,784059
613,1327,2,1,3,0,2,526920
614,4494,2,1,2,0,3,1049338
615,4683,3,3,2,0,2,1038416
616,1244,5,4,2,0,2,586489
617,2107,3,1,3,0,1,576487
618,4224,3,1,2,0,1,883889
619,3993,3,1,1,0,3,957604
620,1738,3,1,2,0,2,561528
621,1837,1,1,2,0,2,552248
622,2481,3,1,2,0,1,617738
623,2938,5,1,2,0,2,792681
624,3473,2,2,1,0,3,875744
625,2475,3,3,1,0,2,680552
626,2850,2,2,3,0,1,676157
627,3989,3,2,2,0,2,921833
628,1146,1,1,2,1,2,497130
629,2009,3,1,1,1,2,630070
630,3853,3,1,1,0,3,940958
631,4580,2,1,2,0,2,973078
632,3046,3,2,2,0,3,853634
633,3128,3,3,2,0,2,817511
634,1428,4,2,2,1,1,536419
635,2789,2,1,2,0,2,704233
636,3130,2,1,1,0,1,664838
637,1969,2,1,2,0,3,653463
638,2076,5,1,1,0,2,624131
639,2509,4,3,1,0,2,678056
640,1080,3,2,2,0,2,481460
641,2288,4,2,3,0,1,656287
642,1845,3,2,1,1,2,601027
643,2309,3,2,2,1,2,711831
644,1479,1,1,1,0,1,391241
645,4562,3,1,1,0,2,941851
646,3374,2,1,1,0,1,685993
647,3716,4,4,1,0,2,913809
648,4156,3,2,2,0,2,968830
649,2993,3,1,1,0,1,656852
650,1347,1,1,2,0,3,537785
651,3148,2,1,3,0,1,707599
652,3347,2,1,1,0,1,688499
653,3981,2,2,2,0,1,829960
654,2726,1,1,1,0,2,667479
655,1510,4,4,2,0,2,611208
656,2135,3,1,1,1,2,651091
657,2452,2,1,1,0,1,549448
658,3583,2,2,1,0,1,767597
659,3283,3,2,1,1,2,843716
660,2424,3,3,1,1,3,791912
661,4946,3,3,2,0,3,1154654
662,3423,4,1,2,1,1,809675
663,1948,3,3,2,0,2,608155
664,1407,5,2,2,0,3,654177
665,1611,4,3,1,0,2,589475
666,1983,2,1,1,0,3,616144
667,1642,4,1,1,0,1,471853
668,1746,2,2,1,0,3,604831
669,2140,4,2,2,0,2,671215
670,1693,2,1,2,0,3,617227
671,4587,4,3,1,0,2,1004449
672,1320,4,1,1,0,2,488189
673,3098,4,2,2,0,3,876397
674,2641,3,2,2,0,1,659593
675,4929,2,2,1,1,2,1077283
676,1448,1,1,3,1,2,564087
677,2591,3,3,3,0,2,770928
678,4877,2,2,1,0,3,1079818
679,4462,3,1,1,0,1,871033
680,4268,2,1,2,0,2,930771
681,2031,5,3,3,0,2,717498
682,1683,3,3,2,0,1,511896
683,3674,4,4,1,0,2,896319
684,4717,2,2,1,0,1,915423
685,3227,4,3,2,1,2,895345
686,3286,4,1,2,0,3,898328
687,2119,3,2,1,0,2,617792
688,4077,3,1,2,1,2,978217
689,1748,3,2,2,0,3,661574
690,2294,2,1,2,0,2,629358
691,2701,3,2,2,0,3,807042
692,3030,2,2,2,0,2,743560
693,1969,2,2,1,0,3,643247
694,1459,2,1,2,0,1,409134
695,3442,1,1,1,0,3,814542
696,2154,1,1,2,0,1,499838
697,3324,2,1,1,0,2,769074
698,1617,5,2,2,0,2,607690
699,2924,3,3,1,0,2,735980
700,3130,5,3,1,1,2,874411
701,1207,3,1,1,0,2,470937
702,2346,2,1,1,0,2,616985
703,1537,3,1,2,0,1,463663
704,1253,3,3,2,0,1,455275
705,4959,2,2,2,0,1,982865
706,2289,3,1,1,0,2,618658
707,4239,2,1,1,1,1,871149
708,2018,3,2,1,1,2,645128
709,3726,3,1,1,0,2,822766
710,4040,2,1,2,0,1,830166
711,3382,1,1,1,0,2,767873
712,2886,3,3,1,0,3,809162
713,2647,3,1,1,0,1,611677
714,2395,1,1,1,0,2,590830
715,4718,5,3,2,0,2,1089028
716,4322,1,1,2,0,2,933380
717,4860,3,1,1,0,2,1003796
718,1497,5,2,1,1,2,609403
719,3923,2,2,1,0,2,845435
720,4753,2,1,1,0,1,891308
721,1724,2,2,1,0,2,514537
722,1265,2,1,3,1,2,564042
723,3964,2,2,2,0,1,832916
724,3297,3,3,2,0,2,832334
725,4367,1,1,1,0,3,972909
726,1559,3,1,1,0,2,510593
727,4181,5,3,2,1,2,1064555
728,1806,4,1,2,0,3,677195
729,1654,3,1,2,0,2,538243
730,1657,2,2,1,1,2,582950
731,4258,3,2,2,0,2,959805
732,3660,3,2,1,0,3,906296
733,3092,3,2,2,0,2,784411
734,2435,2,2,2,1,2,701229
735,4508,4,3,2,0,2,1023701
736,2569,3,3,1,0,3,771779
737,4266,2,2,2,0,2,947167
738,2756,2,2,1,0,1,616464
739,2507,3,3,1,0,3,761082
740,2850,4,1,1,0,2,720571
741,2205,3,3,2,1,1,645205
742,3990,3,3,1,0,2,904128
743,3010,1,1,1,0,2,675242
744,1928,3,3,2,0,3,696476
745,4598,3,2,1,0,1,918595
746,2535,1,1,2,1,3,791133
747,3174,2,1,1,0,2,742613
748,4625,3,1,1,0,1,914187
749,3496,2,2,2,0,3,905254
750,1467,3,1,1,0,2,517474
751,4759,2,2,2,0,1,964395
752,3510,1,1,2,0,2,779165
753,2339,2,1,2,1,3,768065
754,1557,5,2,2,1,2,649414
755,4176,4,4,1,0,1,892159
756,3480,5,4,1,1,1,866919
757,3133,3,1,2,0,1,705361
758,4575,2,1,2,0,2,968896
759,4154,3,1,2,0,2,932834
760,1606,3,1,2,0,1,487946
761,2246,4,1,2,0,1,593725
762,1993,1,1,2,0,2,575220
763,3975,3,3,1,0,3,978479
764,1134,2,2,2,0,2,479621
765,3279,2,1,2,0,3,844758
766,4049,3,1,1,0,2,882353
767,4507,3,2,2,0,1,925023
768,2368,2,2,2,0,3,722437
